,maturity_1,maturity_2,maturity_3,maturity_4,maturity_5,maturity_6
CRY  Index,0.013304393071158604,0.024975877607193678,0.023009340301675063,0.01976930975469198,0.007311852731097815,0.00915442152084764
C 1  Index,0.027654843583722444,0.03031024718393261,0.031458182195550764,0.041042262594875256,0.025120673811722855,0.05291259150455395
NG1  Index,0.023514400874070515,0.010367152013621914,0.010965151199982454,0.027595588987179023,0.01758123236100012,0.017855605784843343
MOVE  Index,0.05132678639143705,0.01658682493491021,0.03380972136090471,0.022064039558196483,0.015637250962798135,0.050148717888509664
VIX  Index,0.02094561345298765,0.03226138665335626,0.034917637849863244,0.01871621587956694,0.029304833549154866,0.03447841305985882
GDP CQOQ Index,0.014351091663769392,0.0068136775006329715,0.011320193782844701,0.014596135261646928,0.01599682423029056,0.01181390650405289
CPI XYOY  Index,0.010941339228510817,0.010827722858296814,0.005520470115224726,0.013788288647172825,0.015772688623281888,0.018517222310443684
NAPMPMI  Index,0.021402011118005854,0.02637727629024933,0.012005394514077733,0.04795107939027851,0.027357119936096297,0.030999112816294656
IP CHNG  Index,0.019410216468258416,0.01791763666570963,0.009148954368548099,0.032164314769578296,0.019216567309743065,0.016976875726020885
CPTICHNG  Index,0.02645838656030537,0.027237742787818816,0.01702015945194095,0.031132173288232784,0.029576547167574366,0.0299528850131998
USURTOT  Index,0.007465531451240774,0.012890943231154476,0.00924587994620621,0.015076788063335695,0.015098518714870198,0.0082543779637496
NFP TCH  Index,0.004201084991347064,0.005970111174412522,0.004876290111468544,0.004826868268546605,0.009639454733865325,0.00627553066528488
INJCJC  Index,0.014763813564903102,0.00740390262025077,0.009475233365383853,0.011794243268290303,0.008413345223597844,0.01140445653969861
LEI CHNG  Index,0.03302748927647918,0.029309161086289805,0.010341016176835787,0.012750049376002307,0.07108798658713447,0.014903891534970778
EUGNEMUY  Index,0.020040366075940255,0.01558020745687342,0.046558183686148065,0.014629076334209762,0.02578185285809256,0.014692654759373302
CPEXEMUY  Index,0.013238434427158002,0.012216741644382714,0.020541324289885775,0.00898301755456661,0.01900038383684053,0.021517099017675113
EUIPEMUY  Index,0.022734193273953984,0.034978696868524325,0.0250415690769975,0.03775230740996631,0.030537657042634236,0.013923282940105006
EUUCEMU  Index,0.008790395730097468,0.009409952185849155,0.0064337747561185096,0.0053019904773076035,0.010421627054781616,0.0032559039514508184
GRZEEUEX  Index,0.023983270404195237,0.011880525125444517,0.02109792056910949,0.02694419086798249,0.023405318055668128,0.015573236662391233
UMRTEMU   Index,0.02549771578886369,0.00886141467752168,0.01255234518712526,0.014190346794435755,0.012648938276960203,0.014213980179532881
OLE3US  Index,0.041559471796685704,0.030356490686809897,0.01969329374709984,0.07621725459879963,0.0631820641019173,0.04731793892879068
OLE3EURA  Index,0.04917166836203736,0.02146293658519956,0.051059733890744,0.039190013658992634,0.025787885627136953,0.02664088549689768
OLE3JAPA  Index,0.018935909375900034,0.03134847956771652,0.01753633930204281,0.057208245557464885,0.08018335005604117,0.036021946289440776
OLE3BRAZ  Index,0.0173775015064845,0.005436864183032109,0.021794779045302675,0.018328709225880934,0.0329798250008871,0.02202087463698505
OLE3INDI  Index,0.01377986715605948,0.030931610419885448,0.03963911653017082,0.012664228432162418,0.007683572173534534,0.016985313845410323
OLE3CHIN  Index,0.03410362420508803,0.03675781449932159,0.0327389661432923,0.02557586615220256,0.04262156642290453,0.03416049594250702
EBBSDEPF  Index,0.013493596373325999,0.009710414249012199,0.006240016297837428,0.006303141797990975,0.00913057121410384,0.011101708581832705
EBBSLONG  Index,0.040836276944717004,0.028208660726687713,0.025228093219649358,0.026688252078108536,0.0747255002858645,0.02814583455445003
ECMSM1Y  Index,0.02103360941214487,0.017924531247746928,0.02226345422701949,0.01774219952843608,0.015330471839339225,0.014753187789329485
ECMSM2Y  Index,0.016555960327134623,0.007461701503650451,0.021292886592447758,0.012839661396700345,0.009091401786713655,0.0118639723440283
.USDEUR02 U Index,0.015948134558840442,0.01514596365361649,0.01499563824831542,0.0200410694795205,0.03375302164204186,0.009745053026688159
