,maturity_1,maturity_2,maturity_3,maturity_4,maturity_5,maturity_6
Y_df_change_1_US_3y,6.07162947117278e-05,8.78523122474138e-05,4.464452697987721e-05,6.331400975924587e-05,3.4420959804942385e-05,5.4974725498927745e-05
Y_df_change_dir_1_US_5y,0.0001444123709520734,0.0002065134918709405,0.0001614167149170327,6.266115919878045e-05,9.721062835817028e-05,8.880307559173858e-05
Y_df_change_dir_1_US_10y,0.0001618491507196312,0.00015799384988643856,0.00011620836986046804,5.8692761384591395e-05,7.53034661773798e-05,7.412263460499291e-05
Y_df_change_dir_21_US_3m,0.00029042491432637314,0.00029071400116790884,0.0002697817162071245,0.0001376917588725221,0.00012603576773954106,9.216038774828775e-05
Y_df_change_21_US_3m,4.979510266700289e-05,6.0831246848671306e-05,4.779123302359644e-05,2.9677452713995696e-05,3.452523665904263e-05,2.9635325828632684e-05
Y_df_change_dir_21_US_6m,0.00022595139433861204,0.00016878180875389936,0.00025815740837438006,0.0001023222719489137,0.0001153489709052678,5.982384896986494e-05
Y_df_change_21_US_6m,4.64582745433876e-05,5.54659345336158e-05,4.607003454646524e-05,3.3994023069658346e-05,2.222340154005547e-05,2.2976193069437958e-05
Y_df_change_dir_21_US_1y,0.00024481148248905093,0.0002874556553573056,0.0001637663033535831,0.00012620035506055927,0.00011127496809351068,9.916287579451132e-05
Y_df_change_21_US_1y,7.781139074124552e-05,0.00011263481700442008,9.064568291034761e-05,4.3506284411153096e-05,4.683655886902814e-05,5.8545826457182505e-05
Y_df_change_dir_21_US_3y,0.00023427010019476478,0.0001487849029946661,0.00011723783574081344,8.52472121114667e-05,7.00221549956786e-05,7.608685753603229e-05
Y_df_change_21_US_3y,8.1955347140587e-05,8.0320396861053e-05,7.987930166530335e-05,4.880228521826724e-05,7.149609629612313e-05,5.853002861679853e-05
Y_df_change_dir_21_US_5y,0.0002055124885903076,0.00016165003653796802,8.586190101672484e-05,7.25716079929964e-05,7.624632885306128e-05,7.63041579384997e-05
Y_df_change_dir_21_US_10y,0.00018244359936743526,0.00016446132543326982,9.626973562695088e-05,5.865488371094035e-05,4.406286623597264e-05,5.522006988031746e-05
Y_df_change_dir_63_US_3m,0.00018905066644742236,0.0003006439844053959,0.00020423103162448222,0.00012269199704295636,0.00015892320312999668,8.356436822272942e-05
Y_df_change_63_US_3m,3.0817664933196096e-05,3.981247422663869e-05,3.849902475052e-05,2.3786040885276358e-05,2.9317001045951944e-05,3.3981932358091515e-05
Y_df_change_dir_63_US_6m,0.00020076934340922865,0.0002686812359193083,0.00022472852152125117,0.00017892444431075253,0.00015606148770746494,0.0001290696425385265
Y_df_change_63_US_6m,4.84524833604707e-05,4.880177057833756e-05,4.248005910237215e-05,4.240069342371173e-05,3.40581714595535e-05,2.582456973942838e-05
Y_df_change_dir_63_US_1y,0.0002411452733941666,0.00022430304205733808,0.00018276366018243873,9.088267052595623e-05,7.159606041327017e-05,4.530018650138951e-05
Y_df_change_63_US_1y,5.727732610591286e-05,8.360083962859671e-05,6.264257885757635e-05,6.299504130392994e-05,4.0923462826905545e-05,2.3672247738664577e-05
Y_df_change_dir_63_US_3y,0.0001615109301930918,0.00014926329015358238,9.210894102441714e-05,8.97709975386092e-05,9.498366495990168e-05,7.136364558523387e-05
Y_df_change_63_US_3y,7.99848370585845e-05,0.00010750606981132905,0.00010408042492428355,7.615535322904992e-05,4.404943375076518e-05,6.76168164955281e-05
Y_df_change_dir_63_US_5y,0.000196061548089924,0.0001619050403197755,0.00010150047855128007,6.490059698947187e-05,8.754003209268115e-05,8.497854444515668e-05
Y_df_change_dir_63_US_10y,0.00015619604011783773,0.00017814987963959058,0.00010396757452766229,5.50606572422601e-05,6.954836007227793e-05,8.206007654651442e-05
Y_df_change_dir_252_US_3m,0.00016110130354952257,0.00018629500126967816,0.0002175720216260276,0.0001099168610033627,0.00013414065290178094,0.0001263026894320229
Y_df_change_252_US_3m,7.077005780135756e-05,8.195676184919679e-05,6.889596656990822e-05,7.941204291203032e-05,4.163676137657554e-05,6.850363559725054e-05
Y_df_change_dir_252_US_6m,0.0002458640595989588,0.00027231616759272,0.00017895989357869017,6.424089847029818e-05,8.866157205595794e-05,4.858191043970391e-05
Y_df_change_dir_252_US_1y,0.000253186208875361,0.00032917396669591596,0.00016398278229402322,0.00011205416912616076,9.007003468304867e-05,0.00011631466135437094
Y_df_change_dir_252_US_3y,0.00021369031171894647,0.0002784673673499572,0.00012263242289587488,0.00012196578878293269,8.518101622841147e-05,8.000378544245742e-05
Y_df_change_252_US_3y,7.121594431364623e-05,9.249166801362332e-05,8.958780159750816e-05,6.736293098302771e-05,7.498439447173297e-05,5.512434733949436e-05
Y_df_change_dir_252_US_5y,0.00030474557114576207,0.0002942766498405602,0.00023159066782411548,0.0001261877204288883,0.00011006037160708535,0.00010347141792009171
Y_df_change_252_US_5y,6.754312236346292e-05,0.00010352379585873108,6.213765147927839e-05,3.997015949327772e-05,3.398468554298006e-05,4.4751945827749284e-05
Y_df_change_dir_252_US_10y,0.00026887988509675123,0.00019787648277104971,0.00017367832492121735,0.00010674741016922466,8.85974831122559e-05,0.00010424268165661766
