,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
ECMSM1Y  Index,0.01977635674292718,0.02007039776749582,0.009661953425459896,0.004141053542770166,0.03179261712629293,0.015640111887656065,0.10108249049260207,1.7838257131628872,55.8981810055558
INF,0.04878495248643808,0.00755255917667961,0.0036388410413852206,7.926990302425816e-05,0.008222025496682986,0.03208492625079335,0.10036257435500351,1.771121189250675,57.66930219480648
OIL,0.022362767580434456,0.0026276705443466965,0.009019094902262288,0.01744349415219718,0.013070692496437272,0.02886470773912042,0.09338842741479832,1.6480468310835228,59.317349025889996
UMRTEMU   Index,0.027265682160028053,0.023179839528866,0.026442104261683624,0.005626405097580956,0.0009680573682561587,0.006558278264369311,0.09004036668078409,1.5889628413889603,60.90631186727896
C 1  Index,0.024263290281379524,0.014690860368913613,0.016902804560259097,0.019809600228839378,0.0013051938976581766,0.012090604111142596,0.0890623534481924,1.5717036193059992,62.47801548658496
.EUR0210Y U Index,0.016196819591682572,0.015643346002605512,0.025253118218896083,0.0005068031184503736,0.01150554771311021,0.01980499870973618,0.08891063335448093,1.5690261802851848,64.04704166687014
OLE3US  Index,0.029677913619837324,0.024404743205339304,0.00504476531549651,0.0003823253135438667,0.009353235347657744,0.018278818094470062,0.08714180089634481,1.5378111913615469,65.58485285823168
BULL,0.009829413227457291,0.04895178672220362,0.013114117830816684,0.0032843136799428087,0.004496909653077219,0.003159965834279695,0.08283650694777733,1.4618346892912766,67.04668754752296
EURJPY   Index,0.023090747838242158,0.0038551778380197725,0.021049725120140198,0.022476802403055007,0.007536167535429166,0.0032669510016151058,0.0812755717365014,1.4342885103943575,68.48097605791732
ER2  Index,0.0052861184291627195,0.009245174525366244,0.004251245273181646,0.006602651128382159,0.03681516279096088,0.017221848606501788,0.07942220075355544,1.4015816508848862,69.88255770880221
GRZEEUEX  Index,0.0031068172056210527,0.03419522350501703,0.01303131224491714,0.004442199533213328,0.020274207763057866,0.0037145865155622246,0.07876434676738864,1.3899723518825342,71.27253006068474
UNC,0.027967903685153818,0.030907958783922697,0.0007341410625350822,0.0012597537639193522,0.0060586302997489155,0.0035493950055027206,0.07047778260078258,1.2437374682530304,72.51626752893777
UMCSENT,0.007072607002350593,0.004930675223524878,0.01066394679684234,0.00928773268898844,0.012137961315246705,0.025001508490133443,0.0690944315170864,1.2193251568685024,73.73559268580628
LEI CHNG  Index,0.015555112096197098,0.00489562689743447,0.017116386348939534,0.013010975439484403,0.0013060003758850267,0.01356227614450516,0.0654463773024457,1.1549471139515186,74.8905397997578
INFE1,0.01845688918995832,0.023354185266329215,0.0007367788463769006,0.008286661027293456,0.01212365758599612,0.0022619958171183094,0.06522016773307232,1.1509551422020567,76.04149494195985
NAPMPMI  Index,0.0065600227353023455,0.023069586705712294,0.004108706398402914,0.02060648582195618,0.001893888140507887,0.006594309893382461,0.06283299969526408,1.10882824458872,77.15032318654858
FDTR  Index,0.0002485492645563565,0.006161885474886416,0.0008283995506152357,0.01430879447007853,0.018731828266710982,0.02040733731832334,0.06068679434517085,1.0709536703616014,78.22127685691018
EUIPEMUY  Index,0.0018985705349093354,0.01443280963171571,0.008458184106071931,0.00982604551546344,0.01230069250251338,0.012022116482656105,0.058938418773329906,1.0400996887658076,79.26137654567599
ER3  Index,0.014502501491583268,0.0034318938903327633,0.005700399103500929,0.013614831824044705,0.016258485103201093,0.004884344443137918,0.05839245585580068,1.0304649569148612,80.29184150259084
ECMSM2Y  Index,0.0025801582035736167,0.01598237210809496,0.022057659319920674,0.0029601201025288766,0.011688873774520952,0.0019381008441640454,0.057207284352803124,1.0095499656908404,81.30139146828168
EUDR1T  Index,0.01446590412761818,0.006693956095274733,0.011611037086811436,0.0034560098781015684,0.00477823982813638,0.015506441255149554,0.056511588271091845,0.9972728586166525,82.29866432689833
.EUR1030Y U Index,0.00905324611933868,0.006114654529549905,0.020027122595157085,0.0037075370078230464,0.014232947756551897,0.00312625988692189,0.0562617678953425,0.9928642215939398,83.29152854849227
.USDEUR02 U Index,0.005853950605321592,0.018446184889959607,0.01121137106153918,0.0027490425683143094,0.004174346013451556,0.011800828121105363,0.05423572325969161,0.957110150839675,84.24863869933193
EURCHF   Index,0.01040017334971913,0.0059839731053435204,0.003949077427474768,0.0016731623399572069,0.02543242430118354,0.005674754938590375,0.05311356546226854,0.9373071768180169,85.18594587614996
OLE3INDI  Index,0.013931664550253296,0.009146409976441427,0.004294102072835676,0.006651616005815174,0.004298575854132869,0.008578930191933773,0.04690129865141222,0.8276778906752803,86.01362376682523
CS,0.008873467776750733,0.007373614465918797,0.007935420772923007,0.012245970897440981,0.004589009403435513,0.004918289343037114,0.04593577265950614,0.8106390337704318,86.82426280059566
.EURGBP10 U Index,0.0059055002961949325,0.017782857298433662,0.005633249943093987,0.0006141715835941408,0.0020576370950404514,0.013916224899739532,0.04590964111609671,0.810177884477105,87.63444068507276
SX7E  Index,0.01896071379664669,0.0013121985465474602,0.013853751719032968,0.0035666289863603793,0.00648352187441984,0.0006131430811255722,0.044789958004132914,0.7904185817929134,88.42485926686568
EUR009M  Index,0.015611188486218452,0.0009818347170948982,0.012977099046111107,0.004308768548071384,0.00448748329654336,0.001538507523946464,0.039904881617985666,0.704210527105024,89.1290697939707
OLE3JAPA  Index,0.005603065851443846,0.0032188028153096893,0.017537832493181305,0.006295121083197121,0.0029834852652320955,0.0016587042739963653,0.03729701178236042,0.6581888546402892,89.78725864861099
OLE3BRAZ  Index,0.002665861382041826,0.018433874953874475,0.0017562397775465687,0.0023515877872040776,0.00779287726935305,0.0033894613543076473,0.03638990252432765,0.6421808911320555,90.42943953974304
MOVE  Index,0.003934246941999764,0.005192931511931221,0.007365146136252999,0.0006213730540900498,0.009700943824771258,0.006625791624510657,0.033440433093555946,0.5901309328736216,91.01957047261666
CPTICHNG  Index,0.00566217053924071,0.010157957068347736,0.002800071335404663,0.004326666953332285,0.007043827838033326,0.002648078186060849,0.03263877192041957,0.575983835716477,91.59555430833313
EURUSD   Index,0.005692738473317833,0.001608650569688794,0.01284611257903149,0.00699725846916314,0.004703057828741331,0.0006676199630289505,0.03251543788297154,0.5738073318903856,92.16936164022351
NG1  Index,0.008865703577425983,0.007794734672500869,0.004790880334435374,0.007130815201479774,0.0032360990154897203,0.00046662603001247004,0.03228485883134419,0.5697382508932205,92.73909989111674
ER1  Index,0.008203103126305036,0.007981931777470535,0.0016718732631967501,0.007652748150412252,0.004959431277704863,0.0007912094952462896,0.031260297090335724,0.5516575766891396,93.29075746780588
EUGNEMUY  Index,0.0005987538083387417,0.0052492672063013555,0.005996997767691308,0.0032174980426093397,0.011775753998670936,0.0036720833535774113,0.030510354177189093,0.5384231634356083,93.82918063124148
USURTOT  Index,0.006343793724992888,0.005493714128807143,0.006877115291475852,0.0018784274013745389,0.0020000409610809967,0.007578138816069598,0.030171230323801018,0.5324385676201262,94.36161919886162
GJTB3MO  Index,0.008871580990445983,0.006700118976245595,1.3640537594371085e-05,0.006045288944750852,0.0020516821448330674,0.005360040076874084,0.029042351670743954,0.5125169891296235,94.87413618799124
ER4  Index,0.007734166259192842,0.003015677305408911,0.00252229134043192,0.010742463286495555,0.001974468573888928,0.001135815249469481,0.02712488201488764,0.4786789657523065,95.35281515374355
BEAR,0.01316265824469265,0.0060684779056103255,0.0020320357824339637,0.0013442843579482577,0.00022048265037838953,0.004236445132162881,0.027064384073226467,0.47761134480823686,95.83042649855179
VIX  Index,0.012571902756044813,0.00021765395022983402,0.010396624393886094,0.00017560648760831112,0.0012457216604849078,0.0015197383268850586,0.02612724757513902,0.46107348376143015,96.29149998231321
CRY  Index,0.004106088119432638,0.0024243315449118705,0.0032232331019413423,0.003148523255592231,0.005813752876413449,0.005102683522581306,0.023818612420872836,0.4203324738157642,96.71183245612897
IP CHNG  Index,0.0005789763882647032,0.004409855751176185,0.005550419977526714,0.008869773339918032,0.003247124796953563,0.0004983159356066963,0.023154466189445895,0.40861213412937397,97.12044459025834
.EURGBP02 U Index,0.006758266250239431,0.007495183651937787,0.001958011940599279,0.0008473961342239401,0.0022844684622265405,0.00046481396757658196,0.01980814040680356,0.34955876151649606,97.47000335177484
VIX,0.0030587740683098077,0.003935234437832199,0.0035432561664007303,0.003848969778665836,0.002294845790624423,0.001970976525586436,0.01865205676741943,0.3291570904412145,97.79916044221605
HCS,0.004087809431965931,0.0033944063599978137,0.00145969097198225,0.003054913748943172,0.00019573839209273633,0.00467813474045769,0.016870693645439593,0.29772097004111103,98.09688141225716
CU_release,0.0009828637809452384,0.004767282133093944,0.0047116073214315945,0.0011330087218631437,0.003124045863479754,0.0016910643680603243,0.016409872188874,0.2895887489275143,98.38647016118468
EUUCEMU  Index,0.001766186960936411,0.00041162236486439054,0.0009079742040582522,0.003265053665117214,0.0026247213693415304,0.0068018614300601075,0.015777419994377907,0.27842772112348535,98.66489788230817
PMI_release,0.0016402616388780675,0.0014656057957248216,0.003682938717302159,0.0037389202732715362,0.002242261065297963,0.0028215260174881693,0.015591513507962715,0.2751469870507979,98.94004486935897
INJCJC  Index,0.0020605502564017527,0.0022959584165084066,0.0005972725063278309,0.003245595014815391,0.00641593548326306,0.0006516992050817972,0.015267010882398239,0.2694204153700858,99.20946528472906
GDP CQOQ Index,0.0027896088784445895,0.0027874290004218983,0.0002242915213303474,0.002423917741100724,0.001075588168491674,0.00017770175148834277,0.009478537061277577,0.16726990056019428,99.37673518528926
NFP TCH  Index,0.001139046642073912,0.0031996748054340892,0.00012077818833158984,0.002796343684471673,0.00027628245898615847,0.001922234049568761,0.009454359828866185,0.1668432394377943,99.54357842472706
INF_release,0.0006769978185490656,0.0005496819956301225,0.0009331761997108194,0.0021531938186135926,0.0035704006626255612,0.0014322570965660795,0.009315707591695241,0.16439641185521522,99.70797483658228
UN_release,0.0010985659083191312,0.0014551989528476575,0.0025010444018184522,0.00046287618186438627,0.0017019806749120011,0.0011816589356016252,0.008401325055363253,0.14826009514964816,99.85623493173193
NFP,0.000630518911142323,0.001948999612588003,0.0005483034153353641,0.000573337974757103,0.0007508790479534541,0.0009057192850705999,0.0053577582468468474,0.0945495790523225,99.95078451078426
NFP_release,0.0008330090559298642,0.00029088962869570965,3.3255252375104314e-05,6.254735612052665e-05,0.001079366920940198,0.0004897828401814529,0.0027888510542428556,0.049215489215750224,100.00000000000001
