,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
INF,0.013061187986178372,0.0010546597390888946,0.025895628569490316,0.04340913177564857,0.004468947652261247,0.0098906665486247,0.0977802222712921,1.747919879990604,53.03933421070268
GDP CQOQ Index,0.021644266447475937,0.02000608207118855,0.0003047163344881715,0.03185192144028513,0.00846312919702273,0.011084591385655467,0.093354706876116,1.6688093384235096,54.708143549126184
UMCSENT,0.003572822268388997,0.004898136938269815,0.01640538624734828,0.0060668928253195436,0.02553302461047216,0.02990258845714724,0.08637885134694603,1.5441089002761272,56.25225244940231
ER1  Index,0.0013348871100936836,0.028744462488698524,0.005868046920040297,0.021377437402657094,0.001527220784896465,0.019584800636812987,0.07843685534319905,1.402137728813256,57.65439017821557
EU 10Y-03M,0.020908233270345623,0.024794506476166836,0.002253962066321765,0.006806851307679565,0.021208409757536278,0.002403416619809673,0.07837537949785973,1.4010387862079743,59.05542896442355
EURGBP   Index,0.011505591058243645,0.004678064439453053,0.023903272434893433,0.004025630927818493,0.0009565121667026881,0.03207292028635096,0.07714199131346228,1.3789907311189569,60.4344196955425
GPR,0.015218183405336892,0.028564593453892947,0.007660537938461461,0.0014225050007587313,0.00896676884429876,0.014976139669581032,0.07680872831232982,1.3730333195748456,61.807453015117346
UNC,0.003940360250616124,0.006980155559196293,0.02491289242866041,0.012750667736416501,0.009981639165267045,0.01675162152323162,0.075317336663388,1.3463731929001004,63.15382620801745
.EUR1030Y U Index,0.008664266780703062,0.008609982772040376,0.015445041125014741,0.013563265844424573,0.012756218300144392,0.013467991174228226,0.07250676599655538,1.2961314136469815,64.44995762166442
GRZEEUEX  Index,0.0029283876064771703,0.030581892570041572,0.006331464080596279,0.005318070076204048,0.008016761977033193,0.01881959786198801,0.07199617417234028,1.2870040709249524,65.73696169258938
.USDEUR02 U Index,0.0037876239153035057,0.019555323245827188,0.013710648857957312,0.019679347576467367,0.0020840332825294897,0.011584091062926502,0.07040106794101136,1.2584899417107538,66.99545163430012
UMRTEMU   Index,0.021035306668915368,0.014411083386921871,0.004268797838027554,0.006498166048681558,0.015302664848238464,0.007536447489650624,0.06905246628043545,1.234382329783172,68.2298339640833
C 1  Index,0.023159502458361604,0.013240195050550175,0.007028371714556879,0.009493122808749591,0.011325315226277442,0.0036534586737677088,0.0678999659322634,1.2137802261729262,69.44361419025623
OLE3US  Index,0.023522390102307094,0.003396956611810982,0.0019155600453592693,0.0041449664328771065,0.01590156903232435,0.017818087707641893,0.0666995299323207,1.192321224544411,70.63593541480064
HSI  Index,0.021459227259049453,0.0076866805619077135,0.011602282006300854,0.003490030093915387,0.0012497490585035111,0.02042752815170803,0.06591549713138495,1.178305849170053,71.8142412639707
OLE3INDI  Index,0.009502407820933739,0.009696225860990467,0.008270162053192162,0.01710527241989341,0.014640044809771017,0.006129783256416719,0.06534389622119752,1.1680879076361785,72.98232917160688
OLE3EURA  Index,0.006447003824883751,0.011078700506721197,0.015256568872962652,0.002149518676848226,0.012264745831302017,0.01670434789227556,0.06390088560499341,1.1422926406127245,74.1246218122196
