,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
GPR,0.008243150049710653,0.03378534522013301,0.0028418449164269674,0.018773303673836887,0.005105646081278025,0.002152818903177218,0.07090210884456276,1.3164973772677688,68.3415467589732
INFE1,0.013095372074483353,0.010802074220408214,0.01632938288328367,0.009525125287843812,0.015549374930255381,0.0044125114567686845,0.06971384085304311,1.2944338347325761,69.63598059370577
C 1  Index,0.0004001821379621133,0.019483613326434005,0.023158850690719674,0.012276945391073404,0.0015595334225372596,0.012619145103374476,0.06949827007210092,1.2904311559356998,70.92641174964146
EUDR1T  Index,0.006821420223296331,0.022502758392929468,0.006544185597105534,0.013042101741747627,0.008865451060700344,0.010187369088812834,0.06796328610459214,1.2619298546302118,72.18834160427167
OLE3CHIN  Index,0.017382393090563657,0.016732446862426534,0.0014534213685161131,0.009750400697123539,0.01984483471196075,0.002604353632562103,0.06776785036315269,1.2583010395607834,73.44664264383245
BULL,0.01434434847071268,0.014985075459618484,0.013053925808328152,0.006057841273332939,0.0007856433912684395,0.016872539908986205,0.0660993743122469,1.2273210816886273,74.67396372552108
NAPMPMI  Index,0.0048839035098421765,0.016103535655895528,0.015178564410745637,0.008376349991133824,0.004898671409583255,0.016483670098825676,0.06592469507602611,1.2240776696082907,75.89804139512937
ER3  Index,0.005059326193465464,0.014221631379428315,0.008594335007353961,0.007210983469980256,0.015789100306879463,0.011146458784294443,0.0620218351414019,1.1516100808227385,77.0496514759521
INFCE1,0.001932450051294274,0.01366713280717721,0.008288195578275467,0.004728960619622092,0.003574174833868775,0.0281691980828995,0.060360111973137315,1.1207555092392423,78.17040698519135
.EURGBP10 U Index,0.002004180468101323,0.011294113482098082,0.017337738052201835,0.015897352163085073,0.001952323832848789,0.011705204575203047,0.060190912573538154,1.1176138457621247,79.28802083095347
LEI CHNG  Index,0.017047827300490093,0.011391439519401627,0.012026586950280157,0.015033780567419728,0.0005294427974794396,0.00327869016789864,0.05930776730296969,1.1012157660519895,80.38923659700546
NG1  Index,0.0015046897898605238,0.006547312462821759,0.020169480670669936,0.02019484320942368,0.007965465138493166,0.0019425094446836573,0.05832430071595272,1.0829549385034503,81.47219153550891
OLE3BRAZ  Index,0.00951554352279127,0.005517204096607845,0.017448826705472452,0.00382642951033236,0.004186310775874565,0.015403384558588558,0.055897699169667046,1.0378982452200038,82.51008978072892
BEAR,0.0057192764821927125,0.005838225865817266,0.0038584705672915693,0.008063383059859998,0.025513955652242883,0.005245609255594791,0.054238920882999225,1.0070983536588887,83.51718813438781
UNC,0.015711961395350776,0.0057424030963014044,0.0012255447285776531,0.005852692822359148,0.004366672991817269,0.01754627097828605,0.0504455460126923,0.9366636635045986,84.45385179789241
OLE3INDI  Index,0.0016777589427077687,0.0008215165864303446,0.01787272622208861,0.007308588410973591,0.014986628686576691,0.00667465600036416,0.04934187484914117,0.9161708993843314,85.37002269727674
EU 10Y-03M,0.0031314011063078443,0.004357667270460094,0.003969246389402025,0.004319761597817097,0.02809015099268613,0.0036485154971632005,0.047516742853836384,0.8822821826149361,86.25230487989167
.EUR1030Y U Index,0.01072380092691776,0.008619609111448288,0.017485018595337517,0.0030086306509958228,0.004528307349575157,0.0028211708276433723,0.04718653746191792,0.8761509893471399,87.1284558692388
ER1  Index,0.019776413090198303,0.006486431606519839,0.00339529891783975,0.004181597310569432,0.0018015563941793352,0.008699525488910705,0.04434082280821736,0.8233122806105303,87.95176814984934
ECMSM2Y  Index,0.014495613581888127,0.004919797230242067,0.009655957976010609,0.007979778091572874,0.004948342256665462,0.0016394432471346324,0.04363893238351377,0.8102797076968333,88.76204785754618
OLE3JAPA  Index,0.010298765017123446,0.006601618478717352,0.013033033037416058,0.004382245137080662,0.008511744985816484,0.0002901579626980285,0.04311756461885203,0.8005990464872511,89.56264690403343
OLE3US  Index,0.006519768917488374,0.003988671462179758,0.010926753205263791,0.0016125561450406692,0.009980222963281533,0.00787535329314022,0.040903325986394345,0.7594854689113556,90.32213237294478
CS,0.012893591448190501,0.00303257938445783,0.003062596509428996,0.008533856170428006,0.001012696701431952,0.009556598078005721,0.03809191829194301,0.7072837655136512,91.02941613845843
.EURGBP02 U Index,0.000970195026743721,0.008337620642445623,0.011838161733286664,0.008820059884725496,0.007453901758449643,0.0004563945538666814,0.03787633359951783,0.7032808284109054,91.73269696686934
USURTOT  Index,0.0062763449919192894,0.00880345372103095,0.0013962612665091682,0.005693772227630021,0.005941406471130959,0.009541620172477155,0.03765285885069754,0.6991313901854154,92.43182835705475
ER4  Index,0.003213587678770085,0.012170478738039408,0.007518328692364439,0.0030586094986704048,0.0017255376569869185,0.009009242715661314,0.036695784980492564,0.6813606177710348,93.11318897482579
HCS,0.008853868977049534,0.00525203312034559,0.0021311303013128516,0.003445236906246849,0.006785591972555757,0.0060262255601526375,0.032494086837663215,0.6033442558426141,93.7165332306684
IP CHNG  Index,0.004434971535514303,0.0012097026504099208,0.009153916491628437,0.0028906166370338024,0.0027515474506397417,0.008920006309066192,0.029360761074292398,0.5451652366734326,94.26169846734183
